회차,상호명,구분,소재지
292,동부매점,수동,강원 강릉시 홍제동  992-2 고속버스터미널 동부매점
292,복권방,수동,경기 평택시 평택항로 1-6 1층 개그스토리편의점
292,복권나라,자동,충북 청주시 청원구 율봉로176번길 8-2
292,정원상회,자동,부산 남구 대연2동  1757-2
292,한아름알뜰매장,수동,경기 안산시 단원구 화정천서로5길 38
292,버스판매소,수동,서울 영등포구 영중로 2 1층(영등포동3가)
292,도로가판집,자동,서울 용산구 한강로3가  40-592
292,세계주류백화점,수동,서울 성동구 금호동4가  614번지
292,로또복권,자동,서울 중구 을지로2가  157 가판대98호
292,훼미리마트(일산동문),수동,경기 고양시 일산서구 일산동 일산동 957-3
293,라이프25복권,자동,인천 부평구 산곡동  181-69 외1필지 1층
293,터미널 편의점 1층,자동,경기 수원시 권선구 권선동 권선동 1189 수원복합터미널 1301
293,교통카드판매대,자동,서울 강동구 성내동  56-14 동인의원앞
293,오케이상사,자동,서울 서초구 반포동  19-3 센트럴시티내 100호매점
293,경남마트,자동,서울 구로구 고척로52길 21 경남상가201호
293,복권천국,자동,경남 양산시 중주동  693-2
294,훼미리마트(수유대로),자동,서울 강북구 수유동  724-3
294,참깨열쇠.복권,자동,전북 전주시 완산구 용리로 43 1층
294,동래중고악기수리,자동,부산 동래구 명륜로 163 중고악기1층
294,덕하복권명당,자동,울산 울주군 덕하로 238
296,대원로또판매점,수동,경북 고령군 고령읍 지산리 지산리 3-1번지
296,훼미리마트 상도점,자동,경북 포항시 남구 문예로 68 우측상가
296,엠에스 슈퍼,수동,경기 안산시 단원구 와동 와동 713-2
296,운수대통,수동,경기 수원시 권선구 호매실동 호매실동 87-2
296,노다지 복권방,수동,서울 도봉구 도봉동  623-1
296,풍전수퍼,자동,경기 부천시 조마루로 428
296,행운복권,자동,부산 남구 석포로 132
296,복권방,수동,충북 청주시 흥덕구 송화로166번길 14 편의점
297,GS25(명륜중앙),자동,부산 동래구 온천동  473-12
297,행운로또복권,자동,경기 오산시 오산동  876-2
298,화북슈퍼,수동,제주 제주시 진남로6길 21
299,삼월쇼핑,자동,부산 부산진구 가야대로 784 33
299,다니엘사,수동,경기 안산시 단원구 원선1로 38 101호
299,대박복권,자동,서울 강서구 등촌동  674-1 미니스톱내발산역점(내)
299,웅진코웨이,자동,경기 수원시 팔달구 효원로 257 4층(홈플러스 동수원점)
299,컴텔정보통신,자동,서울 도봉구 쌍문2동  49-1호
299,복권나라,자동,서울 중구 남대문로5가  12-5
299,삼성복권방,자동,경기 동두천시 어수로 100-1
300,천하명당 복권방,자동,경남 거제시 옥포성안로 60
300,쿨복권방,수동,대구 달서구 대명천로 220 1층
300,풍향동복권나라,자동,광주 북구 필문대로 79
300,로또복권신매체인점,수동,대구 수성구 달구벌대로 3233 신매동 효성백년가약상가 401동7호
300,행운방,자동,경기 용인시 기흥구 보정동 1804-4엔림프라자101호
300,훼미리마트함양한주점,자동,경남 함양군 고운로 80-1
300,로또복권판매소,자동,서울 구로구 구로동  685-155 구일프라자 GS25
300,일록로또복권방,수동,경기 수원시 장안구 파장동 파장동 581-4
300,로또복권,자동,대구 동구 아양로 294 1층
300,부일카서비스,자동,부산 동구 자성로133번길 35
300,오렌지25,자동,경기 고양시 일산서구 고봉로 291 양우에이스스타디움109
301,교통카드,자동,서울 서초구 강남대로 517
301,청계로또,수동,서울 성동구 상왕십리동  12-46호
301,성경스튜디오,수동,서울 동대문구 청량리동  678   1층
301,가로판매점,자동,서울 양천구 신월6동  550-5
301,로또왕대박,자동,경기 화성시 와우안길 46 1층
301,복권방,자동,강원 원주시 관설동  1702-1
301,GS25(양산문성),자동,경남 양산시 웅상읍 평산리 평산리 31-5
302,제일약국,자동,서울 강남구 역삼동  829-15
302,현대사,수동,경기 성남시 분당구 미금일로 77 102호
303,로또복권방,자동,서울 양천구 신월동  544-6 1층
303,신문가판대,자동,서울 성북구 보문동1가  147-48보문시장앞
303,진성복권방,자동,경기 포천시 가산로 380
303,동진슈퍼,자동,경남 창원시 명서동  200-1 부산상가1층 3호
303,행운복권방 보생당건강원,수동,전북 익산시 무왕로 1268
303,슈퍼복권나라,자동,부산 부산진구 범천동  845-95
304,가판,수동,서울 마포구 도화2동  169 고려2 앞가판
304,복권나라,자동,서울 성동구 용답중앙15길 12-1 1층
304,장흥로또,수동,전남 장흥군 장흥읍 건산리 건산리 722-1
304,잠실매점,자동,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판
304,1001안경콘텍트,수동,서울 양천구 신월4동  517-4
304,다모아복권방,자동,서울 구로구 서해안로30길 13-7 1층
305,하이로또 복권방,자동,경기 안양시 동안구 관악대로339번길 7
305,훼미리마트 상도점,자동,경북 포항시 남구 문예로 68 우측상가
305,매표소,자동,경기 수원시 팔달구 정조로 782-1
305,더존할인마트,자동,광주 광산구 운남동  782-5더존1빌딩1층
305,동원슈퍼,자동,광주 남구 대남대로 277-1
306,그랑프리안경,자동,서울 강서구 강서로45길 13
306,스파,자동,서울 노원구 동일로 1493 주공10단지종합상가111
306,GS25(방이삼형),자동,서울 송파구 방이동  149-13
306,GS25(종로낙원),자동,서울 종로구 낙원동  230
306,가로판매점,자동,서울 금천구 시흥대로 212 가판
307,팡팡복권마트.잡화슈퍼,자동,전북 전주시 덕진구 가리내로 26
307,가로가판대제57호(구),자동,서울 중구 세종대로14길 6-2
307,운천 대박 복권방,자동,경기 포천시 영북로 171-1
307,복권마트,자동,광주 북구 북문대로 89 벽산메가시티상가 101동 116호
308,마이마트,자동,인천 서구 탁옥로 76 한국상가제1층101호
309,로또복권,수동,경기 의정부시 장암동  20-9
309,홈짱,자동,충북 청주시 흥덕구 가경동 가경동 1671
309,로또복권벽산블루밍,자동,대전 서구 갈마로 262
309,꿈의나라,수동,부산 동래구 명륜동  533-49
309,복권왕국,자동,대전 서구 동서대로1047번길 2
309,신명,자동,서울 강서구 방화동로3길 1
309,복권명당,자동,대구 수성구 천을로 180 동서1차아파트상가108-112호
309,부일카서비스,자동,부산 동구 자성로133번길 35
309,미니슈퍼,자동,인천 남동구 호구포로 874
309,경성식품,자동,서울 동대문구 망우로21길 52
309,행운방,자동,경기 용인시 기흥구 보정동 1804-4엔림프라자101호
310,GS25(익산부송),자동,전북 익산시 부송동  235-7
310,가로매로또,자동,서울 관악구 신림동  1640-5
310,로또판매점,자동,경기 고양시 일산동구 장항동 752삼성메르헨상가102-2
310,인생역전복권방,자동,인천 부평구 청천2동  10-17상가1층
310,-,자동,경기 성남시 수정구 수정로 128
310,아이리스,자동,경기 고양시 일산동구 백석동 백석동 1232 일산병원 지하 1층
310,형제상회,자동,대전 서구 계룡로 664-1
310,우선식품,자동,서울 영등포구 도신로 231-2
311,로또,수동,경남 고성군 동외로167번길 11
311,제일복권,자동,강원 춘천시 중앙로 45 스탠다드차타드은행앞 가판
311,로또복권방,수동,대전 서구 갈마중로 28
311,로또복권,수동,울산 울주군 해맞이로 1578
311,신화복권방,수동,서울 강동구 길동  347-61
311,참깨열쇠.복권,자동,전북 전주시 완산구 용리로 43 1층
311,1등로또복권,자동,광주 서구 광천동  49-1  종합터미널 내
311,한솔사,자동,인천 미추홀구 경인로 384 1층 1호
312,진안로또,자동,전북 진안군 진안읍 군상리 군상리 403-102
312,119복권방,수동,경기 안양시 만안구 안양2동 823-15
312,대호상사,수동,경기 성남시 분당구 야탑동 355-1세화2001빌딩107
312,동인마트,수동,대구 중구 태평로 266
312,성광복권방,수동,경기 수원시 팔달구 인계동 인계동 968
312,GS25(삼성역),수동,서울 강남구 삼성동  168번지
312,GS25(서귀중문),수동,제주 서귀포시 중문동  1964-4
312,북마산복권전문점,수동,경남 창원시 마산합포구 북성로 98
312,로또복권방,수동,인천 동구 송현동  67-78
312,용두천하,수동,광주 북구 하서로 373
312,대한복권,자동,경기 부천시 부천로 52
312,주택복권사랑방,자동,서울 구로구 경인로53길 15 중앙유통지하B55-02호
312,구포라인점,수동,부산 북구 구포동  700-148
312,스파편의점,수동,부산 사상구 가야대로 288 창조상가106호
312,뉴골드나라,수동,서울 광진구 광나루로 521
313,월드24시,자동,서울 은평구 통일로 855-15
313,늘봄로또복권,수동,충남 서산시 호수공원6로 64 1층
313,태극로또전문점,자동,경기 이천시 애련정로 124-2
313,명진슈퍼,자동,경기 의왕시 고천동  295-26
313,로또,자동,부산 금정구 청룡동  31-7  슈퍼내
313,복권방,자동,경기 하남시 신장로 122
314,팡팡복권방,수동,서울 은평구 응암동  61-531층
314,천하제일복권명당,수동,대전 동구 새울로 93
314,탑포인트부평점,자동,인천 부평구 부평동  557-11층
314,가로판매점117호,자동,서울 중구 장충단로 257
314,훼미리마트(원주터미널),자동,강원 원주시 우산동  90-3
314,로또주안점,자동,인천 남구 숭의동  408-7
315,행운복권방,자동,서울 강서구 화곡동  1068-32
315,부일카서비스,자동,부산 동구 자성로133번길 35
315,보람복권방,자동,울산 남구 화합로194번길 18-1 1층
315,대박복권방,자동,경기 연천군 온골로 57-1
315,해태24시,자동,서울 양천구 곰달래로 11 1층 2호
315,다솜방제과슈퍼,자동,경남 진주시 진주대로 883 1층
315,천하명당복권방화곡점,자동,서울 강서구 화곡동  836-4
315,GS25(안산산호),자동,경기 안산시 단원구 선부동 1081산호한양상가101호
316,태안로또복권방,자동,충남 태안군 독샘로 57
316,훼미리마트(광주우산점),자동,광주 광산구 우산동  1573-1
316,훼미리마트관음점,수동,대구 북구 관음동  1386-5
316,럭키슈퍼,수동,서울 용산구 후암로 52
316,왕대박,수동,부산 동래구 여고로113번길 59-4
316,버스매표소,수동,인천 부평구 부평대로 3 가판
317,삽교복권방,자동,충남 예산군 삽교로2길 2 CU편의점내
317,로또복권방,자동,전북 정읍시 충정로 442 CU편의점 내
317,하당제과,수동,전남 목포시 통일대로75번길 10 부영아파트상가109호
317,토큰박스(아카데미),자동,대구 중구 중앙대로 390 승강장옆
318,-,수동,서울 서초구 방배동  765-28
318,서울구가-17가판,자동,서울 구로구 구로동로 130-2 구로4동우체국앞가판
318,돈벼락복권방,자동,충남 아산시 서해로 654 GS편의점
318,로또복권방,자동,인천 서구 신현로 44 1층102호
318,안산삼성홈플러스로또복권판매점,자동,경기 안산시 상록구 성포동 586삼성홈플러스
318,갑부복권,자동,서울 용산구 한남동  631-5
318,신나라레코드,수동,전남 여수시 망마로 107
318,범계가판,자동,경기 안양시 동안구 호계동 호계동 1039희망공원가판대
318,로또하우스,자동,서울 양천구 목동  907-10현대파리지앙107호
319,인생대역전,수동,인천 계양구 임학동  10-10
319,로또복권판매,자동,대구 북구 구암동  831-7
319,복권명당(서부점),수동,대구 달서구 월배로 452
319,초월대박복권방,자동,경기 광주시 경충대로 1252
320,코사마트,자동,경기 부천시 오정로 203
320,알리바이(나주점),수동,전남 나주시 나주로 142 알리바이
321,대동도기상사,자동,경북 영천시 금완로 30
321,흥건슈퍼,자동,전북 전주시 완산구 거마평로 25 흥건슈퍼
321,온천로또복권,자동,충남 예산군 덕산면  사동리 15덕산온천관광호텔매점
321,로또복권문수점,자동,울산 남구 무거동  1195
321,회현역7번출구신세계백화점아웃백옆,자동,서울 중구 회현동1가  194-3login25편의점내
321,경성식품,자동,서울 동대문구 망우로21길 52
322,경기복권방,자동,충북 충주시 가금면 용전리 용전리 380-4
322,화천복권방,자동,강원 화천군 화천읍  하리   43-33
322,LG25계룡병원점,수동,대전 중구 오류동  168-7번지
322,신일마트,자동,전북 군산시 의료원로 159
322,GS25(일산토당),자동,경기 고양시 덕양구 토당동 토당동 282-2금호프라자1층113 114
322,GS25(청담삼익),자동,서울 강남구 청담동  133-6번지
323,공원복권방,자동,울산 남구 대학로 60 제에이동 1층 가운데
323,조일상회,자동,부산 동래구 명륜1동  529-3
323,대흥당,수동,전북 정읍시 관통로 102
323,신정마트,자동,서울 양천구 신목로 70-1 1층
323,버스토큰판매소,자동,서울 구로구 경인로 323
323,우리들공업탑점,자동,울산 남구 수암로 21
323,복권나라,자동,강원 원주시 원일로 219 1층
323,하나로슈퍼,자동,충남 보령시 주공로 59 하나로슈퍼
324,로또복권방,자동,경기 고양시 덕양구 행신동 950-1삼일프라자1층 105호
324,복권명당,자동,경북 포항시 북구 두호동 두호동 1022두호아파트복합상가103
324,버스표판매소,수동,경기 고양시 덕양구 화정로 지하 60 화정역 2번출구
324,노다지복권방,자동,대전 대덕구 아리랑로 213 대영상가 1층
324,GS25(장한평역),자동,서울 동대문구 장안동  433-7조광빌딩102
324,상호없음,자동,서울 송파구 석촌동  210-9유천빌딩1층GN마트내
325,아진동대구역광장,자동,대구 동구 신암동  294번지
325,가판점80호,자동,서울 중구 을지로4가  310-68
325,왕대박복권,자동,대구 달성군 달구벌대로 812
325,로또복권구암점,자동,대구 북구 침산로 153 상가 103동 B2호
325,아이러브복권방,자동,울산 중구 유곡로 19-1
325,종합자동차매매상사,자동,전남 해남군 해남로 34
326,복권명당,수동,경기 용인시 처인구 용문로 142 1층
326,아이러브복권방,자동,울산 중구 유곡로 19-1
326,셀프카메라,자동,부산 부산진구 가야대로443번길 30
326,대림서점,자동,대구 남구 중앙대로 158 대림서점
326,천하명당복권,수동,대구 북구 칠곡중앙대로 545
326,훼미리마트함양한주점,자동,경남 함양군 고운로 80-1
327,GS25(양산문성),수동,경남 양산시 평산동  31-5
327,복권나라,수동,서울 중구 남대문로5가  12-5
327,올인(allin),자동,경기 화성시 3.1만세로 1147
327,복권나라,자동,전남 목포시 당가두로14번길 47-1 103호(옥암동) 복권나라
327,대박복권,자동,경기 의왕시 내손동  683-10
327,대성기획,자동,경기 용인시 기흥구 구성로 75-1
327,반딧불로또,수동,전북 무주군 무주읍 읍내리 읍내리 249-4
327,노다지복권방,수동,서울 강동구 천호대로170길 47 1층
328,희망유통,자동,경기 평택시 평택1로20번길 39 1층 복권방
328,굿프랜드로또,수동,경기 고양시 덕양구 주교동 주교동 568-1
328,로또복권방,자동,인천 남구 주안동  238-1리베로빌딩103
328,행운복권방,자동,서울 은평구 서오릉로 10
328,소리창고,자동,서울 강서구 강서로 306
328,행운복권방,수동,경기 포천시 솔모루로 86-1
329,로또복권방동백점,자동,경기 용인시 기흥구 동백동 동백동 2205-1월드프라자101서진슈퍼내
329,복권판매소(서문큰장네거리),수동,대구 서구 국채보상로 438
329,가로판매대제18호,자동,서울 중구 소공로 51
329,대성복권방,자동,서울 금천구 독산동  1008-11층대성식품내
329,종합복권나라,자동,경기 양평군 북한강로 12 1층
329,광명식품,자동,서울 중구 만리동1가  50-2
330,서창복권나라,수동,경남 양산시 서창서2길 3
330,빌딩매점,자동,서울 영등포구 신길동  425-5
330,행운복권,수동,경기 수원시 권선구 권선로 774-1
330,따봉복권방,수동,인천 부평구 주부토로 109
330,욱일슈퍼,자동,인천 부평구 경인로 1144
330,행운이가득한집,수동,경기 안산시 상록구 건건동 건건동 927-9동호상가B-14
330,오목미니슈퍼,자동,서울 양천구 신목로 119
330,노다지복권방,수동,부산 해운대구 신반송로 179
330,가로판매점,수동,서울 서초구 신반포로 189 반포쇼핑4동 정문 앞 가로판매점
331,E편한마트,수동,광주 북구 중흥동  224-87
331,로또판매훼미리마트철산역점,수동,경기 광명시 광명동  272야우리빌딩103호
331,신간판,자동,서울 중구 무교로 24
331,가판,자동,서울 마포구 도화2동  169 고려2 앞가판
331,챔스,자동,경북 영주시 중앙로 51
332,김영로또,수동,인천 옹진군 영흥북로 3 105호
332,종합자동차매매상사,수동,전남 해남군 해남로 34
332,신간판,자동,서울 중구 무교로 24
332,정기사,수동,경기 동두천시 동광로 88
332,대박로또,자동,서울 영등포구 영등포로53길 17 1층 (영등포동2가)
332,목화휴게소,자동,경남 사천시 사천대로 912
332,행운복권방 보생당건강원,자동,전북 익산시 무왕로 1268
332,대박복권방,수동,경기 연천군 온골로 57-1
333,번개로또복권방,자동,경기 수원시 장안구 경수대로973번길 13-4 1층 (송죽동)
333,묵동식품,자동,서울 중랑구 동일로 919
333,모닝로또,자동,인천 서구 봉오재3로 104 엔시티타워2차 1층 115호
333,프랜즈주안2호점,수동,인천 남구 주안동  18-231층
333,행운열차복권방,자동,부산 사하구 옥천로 15-1
333,노다지복권방,자동,경기 시흥시 복지로 103-1 1층상가
333,신청호마트,수동,전남 목포시 석현동  1170-14
334,훼미리마트(신당6동점),자동,서울 중구 신당동  52-299 1층
334,슈퍼복권나라수정점,자동,부산 동구 고관로 95
334,종합가판점,자동,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽
334,해든복권나라,수동,경기 부천시 소향로 239 대야하이빌투 106호
334,알짜마트왕지점,자동,전남 순천시 왕궁길 60 중흥파크상가 309-101호
334,신탄복권방,수동,대전 대덕구 목상동  866-3
334,로또명당인주점,자동,충남 아산시 서해로 519-2
335,노다지복권방,자동,부산 부산진구 부암동  541-23
335,25시슈퍼,자동,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호
335,목화휴게소,자동,경남 사천시 사천대로 912
335,복권방,자동,서울 강동구 천호대로176길 10-3
335,GS25(경산사동),자동,경북 경산시 삼풍동  509-4
336,마이마트,자동,인천 서구 탁옥로 76 한국상가제1층101호
336,찬스로또방,자동,경남 창원시 내동  456-17번지내동상가1층7-8호
336,청룡,자동,제주 제주시 신북로 255
336,배스트로또(수원탑동),자동,경기 수원시 권선구 탑동 탑동 749-1
336,GS25오리점,자동,경기 성남시 분당구 구미동 구미동 158하나이지타워107호
336,GS25(만평),자동,대구 서구 비산동  1210-2
337,알리바이,수동,광주 광산구 수등로 253 1층 알리바이
337,현리행운복권방,자동,경기 가평군 조종희망로 14 1층
337,월드컵,자동,경기 수원시 팔달구 월드컵로 299-1
337,용두천하,자동,광주 북구 하서로 373
337,노다지복권방,자동,서울 성동구 성수동2가  300-75호1층4
337,복권마을,수동,인천 부평구 마장로 430
337,신문가판점,수동,서울 용산구 한강대로 277-3 가판
337,베스트부흥복권방,수동,서울 도봉구 창동  3-4신한빌딩107호
338,세형전기,수동,경기 평택시 평택3로56번길 28-8
338,대박행진복권랜드,자동,경기 파주시 금빛로 22 금촌프라자107호
338,행복슈퍼,자동,서울 성북구 동소문로 49
339,효원복권방,자동,경북 경산시 공단4로 145 1층  씨스페이스
339,행운복권방(동아마트연일점),자동,경북 포항시 남구 연일읍 생지리408
339,복권나라,자동,인천 서구 거북로 80
339,묵동식품,자동,서울 중랑구 동일로 919
339,명진슈퍼,수동,서울 송파구 새말로 142
